date,value
2020-09-01,1035482.5792
2020-09-02,1021796.9344000001
2020-09-03,958589.3757
2020-09-04,953619.2920999997
2020-09-05,953619.2920999997
2020-09-06,953619.2920999997
2020-09-07,953619.2920999997
2020-09-08,930494.2443
2020-09-09,962818.056
2020-09-10,951376.6294
2020-09-11,942213.6010020002
2020-09-12,942213.6010020002
2020-09-13,942213.6010020002
2020-09-14,995122.4629000005
2020-09-15,987839.9323999999
2020-09-16,1007051.1224000007
2020-09-17,1015463.8835000006
2020-09-18,1067832.2837999999
2020-09-19,1067832.2837999999
2020-09-20,1067832.2837999999
2020-09-21,1047661.1014999995
2020-09-22,1059399.8856999995
2020-09-23,990642.3968999999
2020-09-24,989378.6567999995
2020-09-25,1037501.0467000006
2020-09-26,1037501.0467000006
2020-09-27,1037501.0467000006
2020-09-28,1068454.7410000002
2020-09-29,1077898.3844999997
2020-09-30,1088557.3732
2020-10-01,1112099.7914000002
2020-10-02,1108413.8154999996
2020-10-03,1108413.8154999996
2020-10-04,1108413.8154999996
2020-10-05,1163674.0002
2020-10-06,1139879.3737000008
2020-10-07,1182131.4932
2020-10-08,1178559.6035
2020-10-09,1212718.3321999996
2020-10-10,1212718.3321999996
2020-10-11,1212718.3321999996
2020-10-12,1202565.2968
2020-10-13,1213643.6460999995
2020-10-14,1220287.7486999999
2020-10-15,1232401.6889999995
2020-10-16,1221332.4838999996
2020-10-17,1221332.4838999996
2020-10-18,1221332.4838999996
2020-10-19,1210212.6758999997
2020-10-20,1193422.8660999993
2020-10-21,1168403.7261
2020-10-22,1178871.9249999993
2020-10-23,1182445.9882999992
2020-10-24,1182445.9882999992
2020-10-25,1182445.9882999992
2020-10-26,1141422.9170000004
2020-10-27,1147395.4134999998
2020-10-28,1103690.1021000005
2020-10-29,1117343.1522000001
2020-10-30,1075965.5663999997
2020-10-31,1075965.5663999997
2020-11-01,1075965.5663999997
2020-11-02,1100104.0672999995
2020-11-03,1128598.1134000006
2020-11-04,1140178.8297999995
2020-11-05,1200955.0892000005
2020-11-06,1216174.3750000005
2020-11-07,1216174.3750000005
2020-11-08,1216174.3750000005
2020-11-09,1220495.8417
2020-11-10,1189491.6380999999
2020-11-11,1202055.1085000008
2020-11-12,1189324.4081999997
2020-11-13,1202196.0669999996
2020-11-14,1202196.0669999996
2020-11-15,1202196.0669999996
2020-11-16,1233442.2883999997
2020-11-17,1239813.2310999997
2020-11-18,1239127.4104999998
2020-11-19,1284820.1828999994
2020-11-20,1277883.1111
2020-11-21,1277883.1111
2020-11-22,1277883.1111
2020-11-23,1424281.6005
2020-11-24,1425119.764
2020-11-25,1441850.1473999997
2020-11-26,1441850.1473999997
2020-11-27,1470031.6661999994
2020-11-28,1470031.6661999994
2020-11-29,1470031.6661999994
2020-11-30,1434484.5496999999
2020-12-01,1408201.9645
2020-12-02,1417026.0437999996
2020-12-03,1432667.7435999992
2020-12-04,1468078.8797999995
2020-12-05,1468078.8797999995
2020-12-06,1468078.8797999995
2020-12-07,1480952.6182
2020-12-08,1496862.5918999997
2020-12-09,1437346.2604
2020-12-10,1497512.0766999999
2020-12-11,1476353.7011000006
2020-12-12,1476353.7011000006
2020-12-13,1476353.7011000006
2020-12-14,1492432.9410999995
2020-12-15,1538448.7972
2020-12-16,1551971.7911000005
2020-12-17,1576207.052400001
2020-12-18,1583950.1941999998
2020-12-19,1583950.1941999998
2020-12-20,1583950.1941999998
2020-12-21,1632877.3053999988
2020-12-22,1760840.4531999982
2020-12-23,1732026.0594999983
2020-12-24,1728049.2269999986
2020-12-25,1728049.2269999986
2020-12-26,1728049.2269999986
2020-12-27,1728049.2269999986
2020-12-28,1769408.6958999988
2020-12-29,1730581.1590999984
2020-12-30,1774492.9897999975
2020-12-31,1745613.682499997
2021-01-01,1745613.682499997
2021-01-02,1745613.682499997
2021-01-03,1745613.682499997
2021-01-04,1902899.7926999992
2021-01-05,1973993.353
2021-01-06,1993506.0658999989
2021-01-07,2228916.891499999
2021-01-08,2494992.8014999996
2021-01-09,2494992.8014999996
2021-01-10,2494992.8014999996
2021-01-11,2389317.0131
2021-01-12,2390341.1920999996
2021-01-13,2498404.6396999992
2021-01-14,2483681.598799999
2021-01-15,2412765.6013999996
2021-01-16,2412765.6013999996
2021-01-17,2412765.6013999996
2021-01-18,2403262.716999998
2021-01-19,2634633.013099998
2021-01-20,2513184.1715999986
2021-01-21,2534216.1583999977
2021-01-22,2600455.7851999984
2021-01-23,2600455.7851999984
2021-01-24,2600455.7851999984
2021-01-25,2671652.2386999987
2021-01-26,2659719.2776999995
2021-01-27,2488200.5198999997
2021-01-28,2495852.4046999984
2021-01-29,2442456.3375999993
2021-01-30,2442456.3375999993
2021-01-31,2442456.3375999993
2021-02-01,2585805.9905999983
2021-02-02,2688390.9041999998
2021-02-03,2857479.449399998
2021-02-04,2806561.883199999
2021-02-05,2826899.6769
2021-02-06,2826899.6769
2021-02-07,2826899.6769
2021-02-08,3440902.4804999987
2021-02-09,3507315.461
2021-02-10,3559453.6833999977
2021-02-11,3453576.9298999994
2021-02-12,3467089.2254999992
2021-02-13,3467089.2254999992
2021-02-14,3467089.2254999992
2021-02-15,3493621.1474999995
2021-02-16,3730096.0551999994
2021-02-17,3575625.6817999994
2021-02-18,3360116.208399999
2021-02-19,3558375.2328
2021-02-20,3558375.2328
2021-02-21,3558375.2328
2021-02-22,3315894.3998999996
2021-02-23,3075330.3253999995
2021-02-24,3235573.8811
2021-02-25,2977270.186099999
2021-02-26,3046167.0183999995
2021-02-27,3046167.0183999995
2021-02-28,3046167.0183999995
2021-03-01,3206869.307099998
2021-03-02,3122236.380699998
2021-03-03,3114990.809499999
2021-03-04,2844172.148599998
