date,value
2020-09-01,1008035.5218000002
2020-09-02,1011304.9802000002
2020-09-03,984387.5248000005
2020-09-04,981832.6657000004
2020-09-05,981832.6657000004
2020-09-06,981832.6657000004
2020-09-07,981832.6657000004
2020-09-08,974261.2545000002
2020-09-09,995324.1015000003
2020-09-10,987945.9165000003
2020-09-11,990797.4397
2020-09-12,990797.4397
2020-09-13,990797.4397
2020-09-14,1013594.2254000002
2020-09-15,1020244.4988000004
2020-09-16,1026205.8527000005
2020-09-17,1029481.0930000003
2020-09-18,1023118.3553
2020-09-19,1023118.3553
2020-09-20,1023118.3553
2020-09-21,1004803.5952999995
2020-09-22,1007638.0516999994
2020-09-23,961777.083699999
2020-09-24,965952.3689999986
2020-09-25,988117.0161999988
2020-09-26,988117.0161999988
2020-09-27,988117.0161999988
2020-09-28,1006785.1259999987
2020-09-29,992233.1052999989
2020-09-30,1009220.6207999986
2020-10-01,1029447.3439999992
2020-10-02,1026210.5440999989
2020-10-03,1026210.5440999989
2020-10-04,1026210.5440999989
2020-10-05,1052035.722899999
2020-10-06,1039773.3403999993
2020-10-07,1064462.7411999984
2020-10-08,1082299.5407999982
2020-10-09,1095520.1940999988
2020-10-10,1095520.1940999988
2020-10-11,1095520.1940999988
2020-10-12,1101415.208599998
2020-10-13,1118636.2211999986
2020-10-14,1115127.7381999989
2020-10-15,1119544.7394999985
2020-10-16,1117796.7175999987
2020-10-17,1117796.7175999987
2020-10-18,1117796.7175999987
2020-10-19,1107094.6636999983
2020-10-20,1111122.5368999988
2020-10-21,1111120.9299999988
2020-10-22,1126783.2119999991
2020-10-23,1129841.213499999
2020-10-24,1129841.213499999
2020-10-25,1129841.213499999
2020-10-26,1104311.3414
2020-10-27,1098241.6373
2020-10-28,1056143.1088999999
2020-10-29,1062892.1349999998
2020-10-30,1033932.3752000002
2020-10-31,1033932.3752000002
2020-11-01,1033932.3752000002
2020-11-02,1047828.0767999998
2020-11-03,1076466.9936999995
2020-11-04,1087474.1422
2020-11-05,1127892.3655000008
2020-11-06,1134757.1225999992
2020-11-07,1134757.1225999992
2020-11-08,1134757.1225999992
2020-11-09,1162870.139999999
2020-11-10,1160546.4601999999
2020-11-11,1167740.0919999995
2020-11-12,1151759.6698999999
2020-11-13,1179923.6335999998
2020-11-14,1179923.6335999998
2020-11-15,1179923.6335999998
2020-11-16,1213318.3192000007
2020-11-17,1225342.1152000006
2020-11-18,1229245.984200001
2020-11-19,1265664.813100001
2020-11-20,1282893.565700001
2020-11-21,1282893.565700001
2020-11-22,1282893.565700001
2020-11-23,1340426.5055000014
2020-11-24,1380601.891700002
2020-11-25,1403413.3660000018
2020-11-26,1403413.3660000018
2020-11-27,1425572.1050000014
2020-11-28,1425572.1050000014
2020-11-29,1425572.1050000014
2020-11-30,1429606.9970000011
2020-12-01,1458716.0946000027
2020-12-02,1468798.9001000018
2020-12-03,1472520.5324000018
2020-12-04,1505512.8256000008
2020-12-05,1505512.8256000008
2020-12-06,1505512.8256000008
2020-12-07,1517870.5666999996
2020-12-08,1525001.5903000007
2020-12-09,1485104.8674000006
2020-12-10,1521258.1708000002
2020-12-11,1511768.0653000006
2020-12-12,1511768.0653000006
2020-12-13,1511768.0653000006
2020-12-14,1513439.3615999992
2020-12-15,1542687.1379999998
2020-12-16,1547228.2600000002
2020-12-17,1577177.2726999996
2020-12-18,1567019.5151999993
2020-12-19,1567019.5151999993
2020-12-20,1567019.5151999993
2020-12-21,1572566.7479999976
2020-12-22,1614765.9100999986
2020-12-23,1688295.7531999985
2020-12-24,1708841.5893999983
2020-12-25,1708841.5893999983
2020-12-26,1708841.5893999983
2020-12-27,1708841.5893999983
