date,value
2020-09-01,1002134.3133999998
2020-09-02,1002730.3324000004
2020-09-03,969999.1705999995
2020-09-04,963914.1754999995
2020-09-05,963914.1754999994
2020-09-06,963914.1754999993
2020-09-07,963914.1754999992
2020-09-08,945443.0513999984
2020-09-09,961675.5354999985
2020-09-10,953058.6596999995
2020-09-11,952152.7259399998
2020-09-12,952152.7259399998
2020-09-13,952152.7259399998
2020-09-14,982518.5785999998
2020-09-15,986272.1367999995
2020-09-16,994502.5416999994
2020-09-17,996315.7740000004
2020-09-18,995601.9311999998
2020-09-19,995601.9311999998
2020-09-20,995601.9311999998
2020-09-21,975410.7109000003
2020-09-22,977366.1030000006
2020-09-23,942173.1385000004
2020-09-24,943779.5096999998
2020-09-25,955608.1104000007
2020-09-26,955608.1104000007
2020-09-27,955608.1104000007
2020-09-28,972555.7193000008
2020-09-29,973242.0961000005
2020-09-30,980459.5848999991
2020-10-01,991847.337899999
2020-10-02,988373.0025999997
2020-10-03,988373.0025999997
2020-10-04,988373.0025999997
2020-10-05,1012910.3999999997
2020-10-06,1002022.5360999991
2020-10-07,1024959.5250999987
2020-10-08,1040119.9558999987
2020-10-09,1053253.6849999991
2020-10-10,1053253.6849999991
2020-10-11,1053253.6849999991
2020-10-12,1056469.0643999982
2020-10-13,1052734.754699999
2020-10-14,1049641.0327999995
2020-10-15,1048143.8830999987
2020-10-16,1042699.5208999986
2020-10-17,1042699.5208999986
2020-10-18,1042699.5208999986
2020-10-19,1035651.8496999983
2020-10-20,1037997.5079999998
2020-10-21,1033905.4792000006
2020-10-22,1046049.3642000003
2020-10-23,1046964.4382000002
2020-10-24,1046964.4382000002
2020-10-25,1046964.4382000002
2020-10-26,1020817.4361000005
2020-10-27,1013538.5720000002
2020-10-28,975814.5061000002
2020-10-29,987969.1980999995
2020-10-30,971008.9934070007
2020-10-31,971008.9934070008
2020-11-01,971008.9934070009
2020-11-02,984946.9929070012
2020-11-03,1009142.1434070006
2020-11-04,1017092.3508069987
2020-11-05,1050230.019507
2020-11-06,1054173.7426069996
2020-11-07,1054173.7426069996
2020-11-08,1054173.7426069996
2020-11-09,1083286.8625069987
2020-11-10,1082298.499706998
2020-11-11,1094281.1629069976
2020-11-12,1085429.1345069974
2020-11-13,1103207.0636069973
2020-11-14,1103207.0636069973
2020-11-15,1103207.0636069973
2020-11-16,1127714.793306997
2020-11-17,1132771.544062995
2020-11-18,1127136.127806996
2020-11-19,1146392.7673069944
2020-11-20,1152313.034906994
2020-11-21,1152313.0349069939
2020-11-22,1152313.0349069936
2020-11-23,1184825.1332069936
2020-11-24,1208595.0438069936
2020-11-25,1212170.5426069933
2020-11-26,1212170.5426069933
2020-11-27,1226173.7113069932
2020-11-28,1226173.7113069932
2020-11-29,1226173.7113069932
2020-11-30,1228438.0809069932
2020-12-01,1242361.1343069933
2020-12-02,1250334.980906994
2020-12-03,1257829.3359069955
2020-12-04,1285296.8810069952
2020-12-05,1285296.8810069952
2020-12-06,1285296.8810069952
2020-12-07,1294244.2147069953
2020-12-08,1301984.3315069946
2020-12-09,1275857.4537069951
2020-12-10,1301986.2273069955
2020-12-11,1292815.579206996
2020-12-12,1292815.579206996
2020-12-13,1292815.579206996
2020-12-14,1293269.762506995
2020-12-15,1318038.8724069933
2020-12-16,1323795.141306994
2020-12-17,1341402.0997069958
2020-12-18,1338344.2242069943
2020-12-19,1338344.2242069945
2020-12-20,1338344.2242069948
2020-12-21,1339463.804106995
2020-12-22,1361054.6469069947
2020-12-23,1395406.0971069953
2020-12-24,1398631.7558069942
2020-12-25,1398631.755806994
2020-12-26,1398631.7558069937
2020-12-27,1398631.7558069935
2020-12-28,1395740.5760069923
2020-12-29,1385048.4535069924
2020-12-30,1405161.1737069946
2020-12-31,1398908.4343069948
2021-01-01,1398908.4343069948
2021-01-02,1398908.4343069948
2021-01-03,1398908.4343069948
2021-01-04,1401548.9970069951
2021-01-05,1438298.3706069947
