date,value
2020-09-01,1000701.5687000002
2020-09-02,1000823.7426
2020-09-03,992700.8321000002
2020-09-04,993070.9696000003
2020-09-05,993070.9696000003
2020-09-06,993070.9696000003
2020-09-07,993070.9696000003
2020-09-08,993258.9468000002
2020-09-09,994826.2797999999
2020-09-10,993963.0984999998
2020-09-11,994072.5202999997
2020-09-12,994072.5202999997
2020-09-13,994072.5202999997
2020-09-14,999608.8405
2020-09-15,1000637.6780000002
2020-09-16,1004923.0854
2020-09-17,1005346.0939
2020-09-18,1005969.9167999999
2020-09-19,1005969.9167999999
2020-09-20,1005969.9167999999
2020-09-21,1002446.3774000002
2020-09-22,1003359.6980000002
2020-09-23,1001737.7185000002
2020-09-24,1001836.0557000005
2020-09-25,1003187.4408000004
2020-09-26,1003187.4408000004
2020-09-27,1003187.4408000004
2020-09-28,1005148.0672000006
2020-09-29,1003815.7115000009
2020-09-30,1007148.5716000006
2020-10-01,1010116.9556000005
2020-10-02,1007482.0872000004
2020-10-03,1007482.0872000004
2020-10-04,1007482.0872000004
2020-10-05,1008093.8981999998
2020-10-06,1007860.1712999997
2020-10-07,1010933.1720999996
2020-10-08,1013472.2605000001
2020-10-09,1014620.0036999997
2020-10-10,1014620.0036999997
2020-10-11,1014620.0036999997
2020-10-12,1019968.8970999998
2020-10-13,1020151.2198999996
2020-10-14,1019687.8156
2020-10-15,1019486.2153999993
2020-10-16,1017389.0502999994
2020-10-17,1017389.0502999994
2020-10-18,1017389.0502999994
2020-10-19,1018865.7692999992
2020-10-20,1018419.7405999992
2020-10-21,1018177.6305999995
2020-10-22,1020804.6669999992
2020-10-23,1020495.2295999993
2020-10-24,1020495.2295999993
2020-10-25,1020495.2295999993
2020-10-26,1017916.188499999
2020-10-27,1017675.056499999
2020-10-28,1013118.1365999993
2020-10-29,1013470.1197999994
2020-10-30,1012679.1014999992
2020-10-31,1012679.1014999992
2020-11-01,1012679.1014999992
2020-11-02,1015480.7616999993
2020-11-03,1017415.0234999992
2020-11-04,1020886.8942999989
2020-11-05,1025820.0727999993
2020-11-06,1028771.0278999996
2020-11-07,1028771.0278999996
2020-11-08,1028771.0278999996
2020-11-09,1034168.6658999994
2020-11-10,1034953.4965999994
2020-11-11,1035769.194099999
2020-11-12,1036307.6934999996
2020-11-13,1038492.7023999993
2020-11-14,1038492.7023999993
2020-11-15,1038492.7023999993
2020-11-16,1038767.1337999995
2020-11-17,1041343.2521999996
2020-11-18,1042047.3207999998
2020-11-19,1044222.4855999999
2020-11-20,1045535.3698000002
2020-11-21,1045535.3698000002
2020-11-22,1045535.3698000002
2020-11-23,1051241.5534000003
2020-11-24,1052087.0614000005
2020-11-25,1054111.9303000001
2020-11-26,1054111.9303000001
2020-11-27,1058661.6328
2020-11-28,1058661.6328
2020-11-29,1058661.6328
2020-11-30,1064218.9416000005
2020-12-01,1071840.2217
2020-12-02,1074851.2111000004
2020-12-03,1076291.3455000017
2020-12-04,1079070.6355000017
2020-12-05,1079070.6355000017
2020-12-06,1079070.6355000017
2020-12-07,1086631.1493000016
2020-12-08,1088902.7723000017
2020-12-09,1086714.317900001
2020-12-10,1087779.604800002
2020-12-11,1087172.8042000018
2020-12-12,1087172.8042000018
2020-12-13,1087172.8042000018
2020-12-14,1090104.0486000015
2020-12-15,1094675.1531000014
2020-12-16,1094468.0555000016
2020-12-17,1094876.494500001
2020-12-18,1096509.727700001
2020-12-19,1096509.727700001
2020-12-20,1096509.727700001
2020-12-21,1097561.1752000013
2020-12-22,1105089.1985000013
2020-12-23,1105921.658200001
2020-12-24,1105644.1408000009
2020-12-25,1105644.1408000009
2020-12-26,1105644.1408000009
2020-12-27,1105644.1408000009
2020-12-28,1105968.1654000008
2020-12-29,1106080.291400001
2020-12-30,1106996.1724000012
